,tweets,tweets_clean,textblob,vader,sentiment,sentiment_label,user_name,user_statuses_count,user_followers,user_location,fav_count,rt_count,tweet_date,lat,lng,place,country
85,@IlhanMN Thank you for standing up for the voiceless.  If they had AIPAC lobbyists we would sanction Apartheid regime in Israel.,Thank you for standing up for the voiceless If they had AIPAC lobbyists we would sanction Apartheid regime in Israel,0.0,0.3612,0.1806,neutral,Kyle,1130,27,"Florida, USA",0,0,2021-05-10 23:59:47,,,"Florida, USA",United States
86,@McGrupp_ Okey donkey! https://t.co/b8wMDMAm3K,Okey donkey,0.0,0.0,0.0,neutral,(((OBA))),3877,539,"Westport, CT",1,0,2021-05-10 23:59:47,,,"Westport, CT",United States
87,🥺🥺so proud https://t.co/qwckZSE4vl,so proud,0.8,0.4767,0.63835,positive,Madz🖤👻,80128,4467,"Houston, TX",2,0,2021-05-10 23:59:47,,,"Houston, TX",United States
88,Free them niggas in Palestine,Free them niggas in Palestine,0.4,0.2263,0.31315000000000004,neutral,WASTEMAN,22060,425,"Miami, FL",1,0,2021-05-10 23:59:47,,,"Los Angeles, CA",United States
89,Happy birthday to one of the best guys on the planet! @Hookemcougs https://t.co/i9jbSHyT8S,Happy birthday to one of the best guys on the planet,0.9,0.8478,0.8739,positive,Ken Curtis,30420,1583,"Utah, USA",5,0,2021-05-10 23:59:46,,,"Layton, UT",United States
90,@susanclarissie @Goper91 @BigJacks Payphones,Payphones,0.0,0.0,0.0,neutral,Joshua J. Carlson,4324,203,libraries are not neutral,4,0,2021-05-10 23:59:46,,,"Mamaroneck, NY",United States
91,@sassenachdarby That's exactly what I would do!,That s exactly what I would do,0.25,0.0,0.125,neutral,T. Garner Rafferty,734,167,"Little Rock, AR",1,0,2021-05-10 23:59:46,,,"Little Rock, AR",United States
92,@FCS_Fans_Nation @DLSmith93 @kylorEPH @Chris_P_Hammond @MattFraaze It’s been a rough decade...,Fans Nation P Hammond It s been a rough decade,-0.1,0.0,-0.05,neutral,DI “One Final Ride for King Kun!!!”,25371,1545,"Denver, CO",1,0,2021-05-10 23:59:46,,,"Southglenn, CO",United States
93,"@OTruta Ever Herd of Biblical HEGEMONY
a SELFFULLFILLING
 master NARATIVE that has
sepeeated us from Each other 
Nature &amp; SELF
creating a disasociative Existence 
where our Locus of control = Reality
&amp;the
Laws/Habits of Nature=Truth
M entaly
I  ''ll
A  mericans
3/10 on Psychiatric meds.",Ever Herd of Biblical HEGEMONY a SELFFULLFILLING master NARATIVE that has sepeeated us from Each other Nature amp SELF creating a disasociative Existence where our Locus of control Reality amp the Laws Habits of Nature Truth M entaly I ll A mericans 3 10 on Psychiatric meds,-0.125,0.296,0.08549999999999999,neutral,Me&Elvis🐝✌👣🎵SOJOURNEROFTRUTH Tritium@911Namaste,38793,1332,NY🌹🐝@A-Whole-U🌐☯️Pass it On,0,0,2021-05-10 23:59:46,,,"New York, USA",United States
94,i’m trying to get my hands on that skirt pls don’t forget again !! 😖😣 https://t.co/HOJUHEtA0N,i m trying to get my hands on that skirt pls don t forget again,0.0,-0.2924,-0.1462,neutral,888,30272,2519,"Houston, TX",1,1,2021-05-10 23:59:46,,,"Houston, TX",United States
95,Damn I got my tits done 11 months ago &amp; it’s still the best decision I’ve ever made in my life,Damn I got my tits done 11 months ago amp it s still the best decision I ve ever made in my life,1.0,0.1531,0.57655,positive,Joce🇳🇮🇲🇽,10046,2638,"Chicago, IL",62,1,2021-05-10 23:59:46,,,"Chicago, IL",United States
96,"100% capacity for our championship game! It not only means a lot to the players and staffs for each program, but it means a lot for the fans and workers for each FCS program! https://t.co/Asy5OHmnfB",100 capacity for our championship game It not only means a lot to the players and staffs for each program but it means a lot for the fans and workers for each FCS program,-0.2,0.3682,0.08410000000000001,neutral,John-Allen Stone,7770,540,"Macon, GA",0,0,2021-05-10 23:59:46,,,"Hilton Head Island, SC",United States
97,@TevGotThatPack Happy Gday cuhhh live it up dawg be safe ✊🏾🤘🏾,Happy Gday cuhhh live it up dawg be safe,0.4787878787878788,0.765,0.6218939393939394,positive,®️ayB!,12006,371,"Orlando, FL ",1,1,2021-05-10 23:59:45,,,"Florida, USA",United States
98,Did this last year on my Instagram and you know how many threats I got from niggas taking to themselves in my DM🤣💀 https://t.co/0WE93BphnO,Did this last year on my Instagram and you know how many threats I got from niggas taking to themselves in my DM,0.25,-0.25,0.0,neutral,CHAOS 🥰🌪,8218,716,"Austin, TX",0,0,2021-05-10 23:59:45,,,"Austin, TX",United States
99,Russell Westbrook Trae Young Washington Wizards Atlanta Hawks NBA Triple Double @NBATV Russell Westbrook Trae Young Washington Wizards Atlanta Hawks NBA Triple Double @NBATV,Russell Westbrook Trae Young Washington Wizards Atlanta Hawks NBA Triple Double Russell Westbrook Trae Young Washington Wizards Atlanta Hawks NBA Triple Double,0.05,0.0,0.025,neutral,Absolation,127590,538,"Tulsa, OK to Houston, TX",0,0,2021-05-10 23:59:45,,,"Houston, TX",United States
100,"@megasimmaster @EuroWynner @RoibearddeUna @GravelInstitute This is a better view. The masses of people is at the Western Wall plaza, the holiest site for Jews accessible today
Above is the Al-Aqsa mosque and the Temple Mount plaza, the 3rd-holiest site in Islamic tradition.
It's a spot sacred to all three Abrahamic traditions. https://t.co/rK3V2zOQuE",This is a better view The masses of people is at the Western Wall plaza the holiest site for Jews accessible today Above is the Al Aqsa mosque and the Temple Mount plaza the 3rd holiest site in Islamic tradition It s a spot sacred to all three Abrahamic traditions,0.175,0.4404,0.3077,neutral,Charles Gross 🧢,4388,332,"Brooklyn, NY",4,0,2021-05-10 23:59:45,,,"Brooklyn, NY",United States
